timestamp,video_id,scene_number,scene_snapshot_number,scene_snapshot_path,subtitle,cleaned_subtitle,snapshot_desc,profanity_present,nudity_present,should_censor
131868,1,,,,"You need to drink, child.",,,False,False,False
133537,1,,,,[She sighs],,,False,False,False
137791,1,,,,And eat.,,,False,False,False
143505,1,,,,lsn't there anything else?,,,False,False,False
146757,1,,,,"The Dothraki have two things
in abundance - grass and horses.",,,False,False,False
151096,1,,,,People can't live on grass.,,,False,False,False
162566,1,,,,"[Jorah] In the Shadow Lands
beyond Asshai,",,,False,False,False
165109,1,,,,they say there are fields of ghost grass,,,False,False,False
167529,1,,,,"with stalks as pale as milk
that glow in the night.",,,False,False,False
170907,1,,,,lt murders all other grass.,,,False,False,False
173452,1,,,,The Dothraki believe that one day,,,False,False,False
175954,1,,,,"it will cover everything -
that's the way the world will end.",,,False,False,False
192971,1,,,,lt'll get easier.,,,False,False,False
202063,1,,,,"[Neighs, snorts]",,,False,False,False
213658,1,,,,[Laughing],,,False,False,False
232261,1,,,,Khaleesi!,,,False,False,False
233762,1,,,,Your hands.,,,False,False,False
246316,1,,,,"We're still not far from Pentos,
Your Grace.",,,False,False,False
249277,1,,,,"Master Illyrio has
extended his hospitality.",,,False,False,False
251780,1,,,,You'd be more comfortable there.,,,False,False,False
253573,1,,,,"l have no interest
in hospitality or comfort.",,,False,False,False
256450,1,,,,"l'll stay with Drogo until he fulfils his end
of the bargain and l have my crown.",,,False,False,False
260872,1,,,,"As you wish, Your Grace.",,,False,False,False
264125,1,,,,"Well, Mormont,
as brutish as this life is,",,,False,False,False
266586,1,,,,l suppose it is preferable to beheading.,,,False,False,False
270423,1,,,,What did Ned Stark want you for?,,,False,False,False
273634,1,,,,Buying from a slaver?,,,False,False,False
275846,1,,,,Selling to one.,,,False,False,False
277930,1,,,,Some poachers l caught on my land.,,,False,False,False
281642,1,,,,"Under my reign, you won't be punished
for such nonsense.",,,False,False,False
285479,1,,,,You can rest assured of that.,,,False,False,False
293238,1,,,,[Dogs howling],,,False,False,False
299827,1,,,,"[Rooster crows, hen clucking]",,,False,False,False
302956,1,,,,"- [Moans]
- [Barking]",,,False,False,False
312132,1,,,,"Better-looking bitches
than you're used to, Uncle."," Better-looking people than you're accustomed to, Uncle.",,True,False,False
319264,1,,,,My mother's been looking for you.,,,False,False,False
321516,1,,,,We ride for King's Landing today.,,,False,False,False
324394,1,,,,"Before you go, you will call
on Lord and Lady Stark",,,False,False,False
326939,1,,,,and omer your sympathies.,,,False,False,False
329358,1,,,,What good will my sympathies do them?,,,False,False,False
333527,1,,,,None. But it is expected of you.,,,False,False,False
336572,1,,,,Your absence has already been noted.,,,False,False,False
338658,1,,,,The boy means nothing to me.,,,False,False,False
340743,1,,,,"And l can't stand
the wailing of women.",,,False,False,False
343163,1,,,,[Whimpers],,,False,False,False
345373,1,,,,One word and l'll hit you again.,,,False,False,False
347291,1,,,,l'm telling Mother!,,,False,False,False
350002,1,,,,Go! Tell her.,,,False,False,False
352546,1,,,,But first you will get to Lord and Lady Stark,,,False,False,False
354716,1,,,,"and you will fall on your knees
in front of them",,,False,False,False
356718,1,,,,"and tell them how very sorry you are,
that you are at their service,",,,False,False,False
359637,1,,,,"and that all your prayers are with them.
Do you understand?",,,False,False,False
362974,1,,,,You can't...,,,False,False,False
365269,1,,,,Do you understand?,,,False,False,False
373735,1,,,,"The Prince will
remember that, little lord.",,,False,False,False
375945,1,,,,l hope so.,,,False,False,False
377947,1,,,,"lf he forgets, be a good dog
and remind him.",,,False,False,False
384161,1,,,,Ah. Time for breakfast.,,,False,False,False
394339,1,,,,Bread. And two of those little fish.,,,False,False,False
397509,1,,,,"And a mug of dark beer
to wash it down.",,,False,False,False
403432,1,,,,"And bacon, burnt black.",,,False,False,False
405601,1,,,,"- Hyah.
- [Laughs]",,,False,False,False
407603,1,,,,"- Little brother.
- Beloved siblings.",,,False,False,False
414901,1,,,,ls Bran going to die?,,,False,False,False
418697,1,,,,Apparently not.,,,False,False,False
423118,1,,,,"- What do you mean?
- The maester says the boy may live.",,,False,False,False
434795,1,,,,"lt's no mercy, letting a child
linger in such pain.",,,False,False,False
437798,1,,,,Only the gods know for certain.,,,False,False,False
439675,1,,,,All the rest of us can do is pray.,,,False,False,False
443512,1,,,,"The charms of the North
seem entirely lost on you.",,,False,False,False
446266,1,,,,l still can't believe you're going.,,,False,False,False
448017,1,,,,"lt's ridiculous, even for you.",,,False,False,False
450228,1,,,,Where's your sense of wonder?,,,False,False,False
452064,1,,,,"The greatest structure ever built,
the intrepid men of the Night's Watch,",,,False,False,False
456233,1,,,,the wintry abode of the white walkers.,,,False,False,False
458570,1,,,,"Tell me you're not thinking
of taking the black.",,,False,False,False
461822,1,,,,"And go celibate?
The whores would go begging",,,False,False,False
464825,1,,,,from Dorne to Casterly Rock.,,,False,False,False
466870,1,,,,"No, l just want to stand
on top of the Wall",,,False,False,False
469081,1,,,,and piss off the edge of the world., : ... and vanish over the horizon's edge.,,True,False,False
472334,1,,,,The children don't need to hear your filth.,,,False,False,False
476880,1,,,,Come.,,,False,False,False
